Faixa etaria;Masculino;Feminino;Total
TOTAL;22018277;25040138;47058415
Até 1 ano;329219;313687;642906
1 a 4 anos;1459839;1379206;2839045
5 a 9 anos;1619051;1532270;3151321
10 a 14 anos;1362556;1305327;2667883
15 a 19 anos;1245244;1268299;2513543
20 a 24 anos;1502352;1634449;3136801
25 a 29 anos;1710451;2029045;3739496
30 a 34 anos;2121798;2496474;4618272
35 a 39 anos;2270793;2597336;4868129
40 a 44 anos;1891720;2119347;4011067
45 a 49 anos;1471317;1663922;3135239
50 a 54 anos;1269752;1458270;2728022
55 a 59 anos;1098185;1308985;2407170
60 a 64 anos;845659;1069466;1915125
65 a 69 anos;654826;888989;1543815
70 a 74 anos;463669;683888;1147557
75 a 79 anos;315703;506200;821903
80 anos ou mais;385844;784706;1170550
Inconsistente;299;272;571
